cells,Gen1,Gen2,Gen3,Gen 4,Gen 5
A406,0,0,0,0,0
A407,0,0,0,0,0
A408,0,0,0,1.0019582262109,2.00785343002263
A409,2.00785343002263,3.01771667252281,10.2005525880831,12.2903601117083,1.0019582262109
A410,3.01771667252281,5.04947336903132,9.16201161000583,13.3416962915876,7.09748429180284
A411,0,0,0,3.01771667252281,0
A412,2.00785343002263,3.01771667252281,0,0,1.0019582262109
A413,0,0,0,1.0019582262109,2.00785343002263
A414,8.12766676853256,3.01771667252281,6.07143081403291,10.2005525880831,1.0019582262109
A415,0,0,0,2.00785343002263,0
A416,0,0,1.0019582262109,0,9.16201161000583
A417,0,2.00785343002263,0,0,0
A418,0,11.2433238873179,0,2.00785343002263,5.04947336903132
A419,3.01771667252281,2.00785343002263,1.0019582262109,2.00785343002263,0
A420,2.00785343002263,0,2.00785343002263,1.0019582262109,0
A421,0,0,0,0,0
A422,0,1.0019582262109,0,0,0
A423,3.01771667252281,7.09748429180284,0,3.01771667252281,2.00785343002263
A424,0,0,0,0,0
A425,0,0,0,0,0
A426,0,0,3.01771667252281,3.01771667252281,1.0019582262109
A427,0,0,0,0,1.0019582262109
A428,0,0,0,0,0
A429,0,0,4.03157938384363,2.00785343002263,0
A430,0,0,0,0,0
A431,0,0,0,0,0
A432,4.03157938384363,1.0019582262109,1.0019582262109,5.04947336903132,0
A433,0,0,0,0,0
A434,0,0,0,0,1.0019582262109
A435,0,0,0,0,0
A436,0,0,0,0,0
A437,0,0,0,0,0
A438,0,0,0,0,0
A439,0,0,0,0,2.00785343002263
A440,2.00785343002263,1.0019582262109,0,1.0019582262109,1.0019582262109
A441,6.07143081403291,3.01771667252281,2.00785343002263,2.00785343002263,2.00785343002263
A442,0,2.00785343002263,5.04947336903132,7.09748429180284,4.03157938384363
A443,0,0,0,0,0
A444,0,0,1.0019582262109,0,0
A445,0,0,0,0,0
A446,0,0,0,0,0
A447,0,1.0019582262109,0,0,1.0019582262109
A448,4.03157938384363,2.00785343002263,3.01771667252281,11.2433238873179,2.00785343002263
A449,1.0019582262109,0,1.0019582262109,2.00785343002263,0
A450,2.00785343002263,15.4574108131603,4.03157938384363,2.00785343002263,2.00785343002263
A451,0,0,0,0,0
A452,0,0,0,0,0
A453,0,0,0,0,0
A454,2.00785343002263,1.0019582262109,1.0019582262109,1.0019582262109,2.00785343002263
A455,0,0,0,0,0
A456,0,0,0,0,0
A457,0,0,0,0,0
A458,1.0019582262109,0,0,0,1.0019582262109
A459,0,0,0,0,0
A460,0,0,0,1.0019582262109,0
A461,0,0,0,0,0
A462,0,1.0019582262109,0,2.00785343002263,0
A463,13.3416962915876,1.0019582262109,6.07143081403291,39.9630629537438,4.03157938384363
A464,0,1.0019582262109,0,2.00785343002263,3.01771667252281
A465,0,6.07143081403291,0,1.0019582262109,1.0019582262109
A466,2.00785343002263,1.0019582262109,1.0019582262109,4.03157938384363,2.00785343002263
A467,2.00785343002263,1.0019582262109,0,0,1.0019582262109
A468,0,0,0,0,0
A469,0,0,0,0,0
A470,1.0019582262109,6.07143081403291,0,2.00785343002263,2.00785343002263
A471,2.00785343002263,0,1.0019582262109,0,56.8748711273355
A472,0,0,0,0,0
A473,3.01771667252281,1.0019582262109,1.0019582262109,1.0019582262109,0
A474,1.0019582262109,0,0,0,3.01771667252281
A475,0,0,0,1.0019582262109,0
A476,0,3.01771667252281,0,0,7.09748429180284
A477,0,0,0,0,0
A478,0,0,0,0,0
A479,0,0,0,0,0
A480,1.0019582262109,1.0019582262109,0,12.2903601117083,1.0019582262109
A481,0,0,0,0,1.0019582262109
A482,0,0,0,0,0
A483,0,0,0,0,0
A484,0,4.03157938384363,1.0019582262109,2.00785343002263,1.0019582262109
A485,0,0,0,1.0019582262109,1.0019582262109
A486,2.00785343002263,10.2005525880831,0,3.01771667252281,0
A487,1.0019582262109,1.0019582262109,1.0019582262109,2.00785343002263,1.0019582262109
A488,0,0,0,3.01771667252281,2.00785343002263
A489,5.04947336903132,1.0019582262109,0,7.09748429180284,2.00785343002263
A490,0,0,0,0,0
A491,1.0019582262109,0,0,0,0
A492,1.0019582262109,0,3.01771667252281,27.41712270243,0
A493,0,2.00785343002263,0,1.0019582262109,0
A494,0,0,1.0019582262109,2.00785343002263,0
A495,121.925950018389,3.01771667252281,24.0995816739486,45.875565941174,0
A496,0,0,0,0,0
A497,0,0,0,0,0
A498,0,0,0,1.0019582262109,0
A499,0,0,0,0,0
A500,0,0,0,0,0
A501,0,0,0,0,0
A502,1.0019582262109,6.07143081403291,3.01771667252281,3.01771667252281,12.2903601117083
A503,0,0,0,0,1.0019582262109
A504,3.01771667252281,3.01771667252281,1.0019582262109,3.01771667252281,8.12766676853256
A505,0,0,0,0,2.00785343002263
A506,0,0,0,0,0
A507,0,0,0,0,0
A508,0,0,0,2.00785343002263,0
A509,0,0,0,0,0
A510,1.0019582262109,1.0019582262109,0,0,0
A511,0,0,0,0,0
A512,5.04947336903132,13.3416962915876,4.03157938384363,11.2433238873179,2.00785343002263
A513,4.03157938384363,5.04947336903132,2.00785343002263,4.03157938384363,3.01771667252281
A514,0,0,0,0,0
A515,0,3.01771667252281,0,0,1.0019582262109
A516,0,0,1.0019582262109,1.0019582262109,0
A517,0,0,0,0,0
A518,0,0,0,0,3.01771667252281
A519,0,0,1.0019582262109,1.0019582262109,3.01771667252281
A520,1.0019582262109,4.03157938384363,1.0019582262109,3.01771667252281,2.00785343002263
A521,0,1.0019582262109,2.00785343002263,1.0019582262109,0
A522,0,0,1.0019582262109,0,0
A523,0,0,0,0,0
A524,0,0,0,2.00785343002263,0
A525,0,3.01771667252281,1.0019582262109,6.07143081403291,1.0019582262109
A526,0,1.0019582262109,0,2.00785343002263,0
A527,3.01771667252281,2.00785343002263,2.00785343002263,2.00785343002263,2.00785343002263
A528,0,1.0019582262109,2.00785343002263,0,0
A529,1.0019582262109,0,1.0019582262109,3.01771667252281,0
A530,0,1.0019582262109,0,0,0
A531,0,0,0,4.03157938384363,0
A532,0,0,2.00785343002263,0,0
A533,1.0019582262109,0,1.0019582262109,0,1.0019582262109
A534,0,0,0,0,0
A535,1.0019582262109,2.00785343002263,5.04947336903132,5.04947336903132,1.0019582262109
A536,1.0019582262109,0,1.0019582262109,0,0
A537,0,0,0,0,0
A538,0,1.0019582262109,1.0019582262109,0,0
A539,0,0,0,0,0
A540,0,0,0,0,0
A541,0,0,0,0,0
A542,0,0,0,2.00785343002263,1.0019582262109
A543,0,0,0,0,0
A544,0,0,0,0,0
A545,0,0,0,0,0
A546,0,0,0,0,0
A547,0,0,0,0,0
A548,0,0,0,0,0
A549,0,1.0019582262109,0,0,0
A550,1.0019582262109,0,0,0,0
A551,0,0,0,0,0
A552,0,1.0019582262109,0,0,1.0019582262109
A553,0,0,0,0,0
A554,11.2433238873179,4.03157938384363,1.0019582262109,6.07143081403291,0
A555,0,0,0,0,0
A556,0,0,0,0,0
A557,0,0,0,0,1.0019582262109
A558,0,0,0,0,0
A559,0,0,0,0,0
A560,1.0019582262109,1.0019582262109,1.0019582262109,1.0019582262109,0
A561,0,0,0,1.0019582262109,0
A562,0,0,0,0,0
A563,0,0,0,0,0
A564,0,0,0,0,0
A565,0,0,0,0,0
A566,0,2.00785343002263,0,0,0
A567,4.03157938384363,2.00785343002263,1.0019582262109,0,0
A568,0,0,0,0,0
A569,0,0,0,0,0
A570,0,0,0,0,0
A571,0,0,0,0,0
A572,0,0,0,0,0
A573,0,0,0,0,0
A574,0,2.00785343002263,3.01771667252281,0,0
A575,0,0,0,0,0
A576,0,0,0,0,0
A577,0,0,0,0,0
A578,0,0,0,0,0
A579,0,0,3.01771667252281,0,0
A580,0,0,0,0,0
A581,3.01771667252281,2.00785343002263,0,0,0
A582,0,5.04947336903132,0,1.0019582262109,1.0019582262109
A583,1.0019582262109,1.0019582262109,1.0019582262109,0,0
A584,0,0,0,0,0
A585,0,3.01771667252281,0,0,0
A586,0,0,1.0019582262109,0,2.00785343002263
A587,0,0,0,2.00785343002263,0
A588,0,0,1.0019582262109,3.01771667252281,0
A589,0,0,0,2.00785343002263,0
A590,0,0,0,3.01771667252281,0
A591,0,0,0,0,0
A592,0,0,0,0,0
A593,0,0,0,0,0
A594,0,0,0,0,0
A595,0,0,2.00785343002263,0,0
A596,0,0,0,0,0
A597,0,0,0,3.01771667252281,0
A598,3.01771667252281,2.00785343002263,0,4.03157938384363,0
A599,1.0019582262109,2.00785343002263,0,2.00785343002263,0
A600,2.00785343002263,0,2.00785343002263,3.01771667252281,1.0019582262109
A601,2.00785343002263,0,4.03157938384363,3.01771667252281,1.0019582262109
A602,0,0,0,0,1.0019582262109
A603,3.01771667252281,3.01771667252281,1.0019582262109,5.04947336903132,3.01771667252281
A604,0,1.0019582262109,0,0,0
A605,1.0019582262109,0,0,3.01771667252281,0
A606,0,0,0,0,0
A607,0,0,1.0019582262109,1.0019582262109,1.0019582262109
A608,1.0019582262109,2.00785343002263,1.0019582262109,7.09748429180284,2.00785343002263
A609,1.0019582262109,1.0019582262109,0,1.0019582262109,0
A610,2.00785343002263,0,1.0019582262109,0,0
A611,1.0019582262109,1.0019582262109,0,0,0
A612,0,0,0,0,0
A613,0,0,1.0019582262109,0,0
A614,0,0,1.0019582262109,0,0
A615,0,10.2005525880831,0,0,0
A616,0,0,0,0,0
A617,0,0,0,0,0
A618,0,0,0,0,0
A619,0,0,0,0,0
A620,0,0,0,0,0
A621,1.0019582262109,0,0,0,2.00785343002263
A622,0,0,1.0019582262109,1.0019582262109,0
A623,0,0,0,0,0
A624,0,0,3.01771667252281,2.00785343002263,0
A625,0,1.0019582262109,0,1.0019582262109,0
A626,0,0,0,0,0
A627,0,0,0,0,0
A628,1.0019582262109,0,1.0019582262109,0,0
A629,1.0019582262109,0,1.0019582262109,1.0019582262109,0
A630,0,0,0,0,0
A631,2.00785343002263,1.0019582262109,2.00785343002263,5.04947336903132,0
A632,2.00785343002263,10.2005525880831,1.0019582262109,7.09748429180284,0
A633,0,2.00785343002263,4.03157938384363,4.03157938384363,2.00785343002263
A634,0,0,0,0,0
A635,1.0019582262109,0,0,0,0
A636,0,0,2.00785343002263,2.00785343002263,1.0019582262109
A637,0,0,0,0,0
A638,0,0,1.0019582262109,3.01771667252281,1.0019582262109
A639,2.00785343002263,1.0019582262109,2.00785343002263,2.00785343002263,2.00785343002263
A640,2.00785343002263,3.01771667252281,1.0019582262109,1.0019582262109,0
A641,2.00785343002263,49.489743616895,4.03157938384363,14.3973678906563,11.2433238873179
A642,8.12766676853256,13.3416962915876,4.03157938384363,28.5325928768826,4.03157938384363
